,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor,harvesine_distance
422,NonResidential,Mixed Use Property,LAKE UNION,1,2,53002,Retail Store,64.40000153,3441643.25,64.0,1.21,112,4,1.0,0.0,53002.0,26501.0,3.796392289021752
423,NonResidential,Mixed Use Property,LAKE UNION,1,3,175918,Office,232.3000031,22530168.0,640.71,3.64,8,3,0.70885,0.29115,175918.0,58639.333,1.985280644701714
424,NonResidential,Other,LAKE UNION,1,3,169785,Other,180.6999969,19155416.0,406.02,2.39,96,2,0.62434,0.37566,169785.0,56595.0,1.7313654104402778
425,NonResidential,Large Office,LAKE UNION,1,11,124721,Office,111.4000015,13898181.0,365.79,2.93,45,4,1.0,0.0,124721.0,11338.273,1.6799403677399902
426,NonResidential,Small- and Mid-Sized Office,LAKE UNION,1,7,94002,Office,60.29999924,5662234.0,39.47,0.42,46,2,1.0,0.0,94002.0,13428.857,1.935309622917027
427,NonResidential,Warehouse,GREATER DUWAMISH,1,1,93020,Non-Refrigerated Warehouse,13.5,1252323.875,8.73,0.09,42,1,1.0,0.0,93020.0,93020.0,3.5312638321419305
428,NonResidential,Other,DOWNTOWN,1,1,23000,Other,30.89999962,711118.375,25.74,1.12,70,2,1.0,0.0,23000.0,23000.0,1.0487653432588648
429,NonResidential,Supermarket / Grocery Store,SOUTHEAST,1,1,61053,Supermarket/Grocery Store,241.3000031,13133225.0,306.5,5.02,14,2,1.0,0.0,61053.0,61053.0,6.59510466625655
430,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,5,78920,Office,36.0,2830674.75,19.73,0.25,112,1,1.0,0.0,78920.0,15784.0,0.506723252634598
431,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,7,99440,Office,74.30000305,6606832.5,134.69,1.35,110,2,1.0,0.0,99440.0,14205.714,0.5309971066251844
432,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,73260,Office,44.70000076,2853189.5,19.89,0.27,109,1,1.0,0.0,73260.0,12210.0,0.5333407526632232
433,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,4,69817,Office,35.90000153,2178074.5,76.8,1.1,116,2,1.0,0.0,69817.0,17454.25,0.4496004600546978
434,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,4,84750,Office,29.79999924,2094724.625,26.04,0.31,116,2,1.0,0.0,84750.0,21187.5,0.4115058325419178
435,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,75496,Office,59.29999924,3570161.75,24.89,0.33,116,3,0.82357,0.17643,75496.0,12582.667,0.3277521402910812
436,NonResidential,Large Office,DOWNTOWN,1,4,164380,Office,53.0,7655751.0,130.31,0.79,116,2,1.0,0.0,164380.0,41095.0,0.4546440090411906
437,NonResidential,Large Office,DOWNTOWN,1,7,160580,Office,27.0,4336187.5,99.59,0.62,109,1,1.0,0.0,160580.0,22940.0,0.5261542759212042
438,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,73470,Office,48.59999847,3212269.0,22.39,0.3,107,3,1.0,0.0,73470.0,12245.0,0.3466620135066284
439,Nonresidential COS,Other,DOWNTOWN,1,3,67755,Other,29.10000038,1904480.0,13.28,0.2,110,4,1.0,0.0,67755.0,22585.0,0.5271934713625402
440,NonResidential,Mixed Use Property,GREATER DUWAMISH,1,3,56700,Office,41.79999924,2371575.0,31.58,0.56,106,3,1.0,0.0,56700.0,18900.0,0.8992046059074849
441,NonResidential,Warehouse,GREATER DUWAMISH,1,1,82852,Non-Refrigerated Warehouse,26.29999924,2153603.5,65.56,0.79,94,2,1.0,0.0,82852.0,82852.0,0.9021105837553512
442,NonResidential,Other,GREATER DUWAMISH,1,2,76442,Other,52.29999924,3978277.0,132.6,1.73,63,3,1.0,0.0,76442.0,38221.0,1.8500873221036371
443,NonResidential,Distribution Center,GREATER DUWAMISH,1,2,92792,Distribution Center,31.89999962,3155496.0,74.18,0.8,54,2,1.0,0.0,92792.0,46396.0,2.046409254221438
444,NonResidential,Other,GREATER DUWAMISH,2,2,125519,Manufacturing/Industrial Plant,15.69999981,2244317.0,15.65,0.12,75,1,1.0,0.0,62759.5,62759.5,1.5027980757177966
445,NonResidential,Large Office,GREATER DUWAMISH,1,4,129000,Office,41.70000076,4374646.0,30.5,0.24,116,1,0.8,0.2,129000.0,32250.0,1.5614876645716247
446,NonResidential,Warehouse,GREATER DUWAMISH,1,1,78814,Non-Refrigerated Warehouse,10.89999962,861972.875,16.48,0.21,62,1,1.0,0.0,78814.0,78814.0,1.2699905922125818
447,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,4,58970,Office,30.39999962,1776411.75,41.18,0.7,112,4,1.0,0.0,58970.0,14742.5,0.7864207184067159
448,NonResidential,Distribution Center,GREATER DUWAMISH,1,6,75600,Distribution Center,43.70000076,2688675.75,18.74,0.25,106,3,0.85714,0.14286,75600.0,12600.0,0.8434536138475848
449,NonResidential,Distribution Center,GREATER DUWAMISH,1,4,56270,Distribution Center,18.79999924,1056782.125,7.37,0.13,109,4,1.0,0.0,56270.0,14067.5,0.8711293793514955
450,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,4,66842,Office,104.5999985,5608600.5,138.35,2.07,112,2,1.0,0.0,66842.0,16710.5,0.6393279177200341
451,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,75288,Office,44.09999847,2891605.0,20.18,0.27,107,2,0.85655,0.14345,75288.0,12548.0,0.6813162145726339
452,NonResidential,Large Office,DOWNTOWN,1,7,184322,Office,52.70000076,9722890.0,67.78,0.37,112,2,1.0,0.0,184322.0,26331.714,0.5754096525161141
453,NonResidential,Large Office,DOWNTOWN,1,7,287853,Office,89.40000153,25567108.0,182.14,0.63,7,2,1.0,0.0,287853.0,41121.857,0.6009863074085615
454,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,2,64512,Office,94.69999695,5968153.5,180.76,2.8,102,1,1.0,0.0,64512.0,32256.0,0.9874580469510073
455,NonResidential,Mixed Use Property,GREATER DUWAMISH,1,6,286000,Parking,366.3999939,63835192.0,445.62,1.56,7,5,0.60918,0.39082,286000.0,47666.667,1.1826795736239726
456,NonResidential,Warehouse,GREATER DUWAMISH,1,7,144050,Non-Refrigerated Warehouse,27.29999924,3929371.0,98.43,0.68,90,1,1.0,0.0,144050.0,20578.571,1.5615615658734323
457,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,3,60592,Office,83.59999847,5049446.5,47.25,0.78,86,1,1.0,0.0,60592.0,20197.333,1.6392965346149162
458,NonResidential,Retail Store,GREATER DUWAMISH,1,1,107930,Retail Store,67.0,7221482.5,100.42,0.93,23,1,1.0,0.0,107930.0,107930.0,1.924909083131816
459,NonResidential,Warehouse,GREATER DUWAMISH,1,1,99084,Non-Refrigerated Warehouse,16.29999924,1618110.375,49.25,0.5,90,1,1.0,0.0,99084.0,99084.0,2.438299685268568
460,NonResidential,Distribution Center,DELRIDGE,1,1,72719,Distribution Center,35.5,2581741.75,42.74,0.59,63,1,1.0,0.0,72719.0,72719.0,2.883641510844085
461,NonResidential,Small- and Mid-Sized Office,NORTHEAST,1,6,91706,Office,150.3000031,8570571.0,59.75,0.65,15,3,0.60108,0.39892,91706.0,15284.333,3.8941893622904655
462,NonResidential,Medical Office,LAKE UNION,1,5,129093,Medical Office,203.1999969,19248732.0,477.85,3.7,8,3,0.69091,0.30909,129093.0,25818.6,1.228476827938466
463,NonResidential,Large Office,DELRIDGE,1,5,138106,Office,70.40000153,8381834.5,58.43,0.42,25,2,0.88255,0.11745,138106.0,27621.2,3.039276119548675
464,NonResidential,Retail Store,GREATER DUWAMISH,1,1,56572,Retail Store,42.59999847,2409429.0,67.29,1.19,43,1,1.0,0.0,56572.0,56572.0,2.7609053791817044
465,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1,6,117950,Multifamily Housing,27.0,3187950.75,25.3,0.21,14,3,0.90496,0.09504,117950.0,19658.333,0.3472566822798246
466,NonResidential,Large Office,DOWNTOWN,1,11,312512,Office,82.40000153,25747022.0,185.39,0.59,16,3,1.0,0.0,312512.0,28410.182,0.6064593012874484
467,NonResidential,Large Office,DOWNTOWN,1,42,1592914,Office,45.29999924,56498868.0,481.06,0.3,11,5,1.0,0.0,1592914.0,37926.524,0.2766446795961457
468,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,97720,Office,33.70000076,2478025.25,17.28,0.18,90,3,1.0,0.0,97720.0,16286.667,0.366378972267295
469,NonResidential,Medical Office,EAST,1,10,422503,Medical Office,87.40000153,17254810.0,190.1,0.45,31,1,0.51106,0.48894,422503.0,42250.3,0.5301770483935623
470,NonResidential,Medical Office,CENTRAL,1,7,94500,Medical Office,50.90000153,5792926.0,40.38,0.43,29,1,1.0,0.0,94500.0,13500.0,0.9726714105639898
471,NonResidential,Medical Office,EAST,1,9,302902,Medical Office,73.30000305,14751117.0,130.32,0.43,8,2,0.66543,0.33457,302902.0,33655.778,0.1649465677926131
472,NonResidential,Medical Office,EAST,1,19,319911,Medical Office,88.30000305,15067340.0,357.39,1.12,43,2,0.51109,0.48891,319911.0,16837.421,0.3795593621654383
473,NonResidential,Large Office,DOWNTOWN,1,6,205521,Office,56.70000076,8138616.5,282.46,1.37,116,2,1.0,0.0,205521.0,34253.5,0.2454193813036683
474,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,56700,Office,54.29999924,3065954.5,21.37,0.38,116,2,1.0,0.0,56700.0,9450.0,0.3105920530219253
475,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,4,72000,Office,37.90000153,2729167.75,23.48,0.33,91,1,1.0,0.0,72000.0,18000.0,0.8124660702252341
476,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,4,191146,Office,49.5,5101504.5,35.56,0.19,16,2,0.50356,0.49644,191146.0,47786.5,1.9257106740889796
477,NonResidential,Other,DELRIDGE,1,3,68763,Other - Recreation,180.6000061,9029489.0,310.19,4.51,15,3,0.83237,0.16763,68763.0,22921.0,3.1025161499270686
478,NonResidential,Other,SOUTHEAST,3,1,102133,Strip Mall,192.8999939,20725996.0,530.62,5.2,22,2,1.0,0.0,34044.333,102133.0,3.2321058577597754
479,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,1,26,358176,Multifamily Housing,30.39999962,8393893.0,58.52,0.16,27,5,0.77196,0.22804,358176.0,13776.0,0.9883074978139113
480,NonResidential,Large Office,DOWNTOWN,1,14,362046,Office,66.59999847,15725581.0,116.95,0.32,8,3,1.0,0.0,362046.0,25860.429,0.6679306846790655
481,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1,5,228288,Multifamily Housing,55.59999847,5974993.5,13.71,0.06,14,6,0.85853,0.14147,228288.0,45657.6,0.8113121268356687
482,NonResidential,Other,MAGNOLIA / QUEEN ANNE,3,2,81336,Lifestyle Center,160.8000031,13085297.0,270.17,3.32,22,1,1.0,0.0,27112.0,40668.0,1.6730667865200908
483,NonResidential,Large Office,DOWNTOWN,1,23,538933,Office,43.70000076,16020642.0,111.69,0.21,15,2,1.0,0.0,538933.0,23431.87,0.3673061568538434
484,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,1,13,99470,Multifamily Housing,69.40000153,6136327.5,138.39,1.39,87,3,1.0,0.0,99470.0,7651.538,0.4208557202709962
485,NonResidential,Other,DOWNTOWN,1,6,275982,Parking,66.40000153,5233553.5,36.49,0.13,33,2,0.28571,0.71429,275982.0,45997.0,0.89240871559435
486,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1,5,98668,Office,44.5,4391348.0,30.61,0.31,34,1,1.0,0.0,98668.0,19733.6,1.8231252194508405
487,NonResidential,Large Office,GREATER DUWAMISH,1,1,158931,Office,67.69999695,8751704.0,98.54,0.62,9,4,0.82143,0.17857,158931.0,158931.0,2.125358764615767
488,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,1,105100,Office,210.1000061,22078064.0,357.86,3.4,38,1,1.0,0.0,105100.0,105100.0,3.933342567709333
490,NonResidential,Retail Store,MAGNOLIA / QUEEN ANNE,1,1,50660,Retail Store,52.5,2661488.0,60.7,1.2,38,1,1.0,0.0,50660.0,50660.0,2.7880552383596893
491,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1,2,61929,Office,55.20000076,2203026.5,55.73,0.9,79,1,1.0,0.0,61929.0,30964.5,2.6735126943547307
492,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,4,165111,Office,231.3999939,25478086.0,177.62,1.08,16,3,0.66689,0.33311,165111.0,41277.75,1.9129907977936849
493,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,3,20565,Office,39.0,802312.5,5.59,0.27,91,1,1.0,0.0,20565.0,6855.0,1.0554822673450424
494,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,5,159937,Office,73.80000305,7857972.5,54.78,0.34,16,2,0.65004,0.34996,159937.0,31987.4,1.7996393496332443
495,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,5,183964,Office,108.3000031,14856199.0,103.57,0.56,8,3,0.7458,0.2542,183964.0,36792.8,1.7224838034871786
496,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,5,208210,Office,50.09999847,5514308.5,116.74,0.56,30,2,0.62131,0.37869,208210.0,41642.0,1.5511895918762997
497,NonResidential,Large Office,DOWNTOWN,1,7,277486,Office,65.90000153,12729858.0,88.74,0.32,30,3,0.71068,0.28932,277486.0,39640.857,1.472797410126351
498,NonResidential,Large Office,DOWNTOWN,1,3,187130,Office,52.59999847,10053489.0,70.09,0.37,23,6,1.0,0.0,187130.0,62376.667,1.142647783348492
499,NonResidential,Large Office,DOWNTOWN,1,5,251044,Office,123.6999969,17186624.0,119.81,0.48,16,2,0.53049,0.46951,251044.0,50208.8,0.9610013650525374
500,NonResidential,Warehouse,DOWNTOWN,1,5,154330,Non-Refrigerated Warehouse,13.19999981,1262235.25,8.8,0.06,104,1,1.0,0.0,154330.0,30866.0,0.3896831095208165
501,NonResidential,Large Office,DOWNTOWN,1,6,108245,Office,45.79999924,4515180.5,50.17,0.46,98,6,0.86429,0.13571,108245.0,18040.833,0.3437306945750578
502,NonResidential,Large Office,DOWNTOWN,1,6,167860,Office,52.0,6797647.0,47.39,0.28,111,3,1.0,0.0,167860.0,27976.667,0.267154736167707
503,NonResidential,Large Office,DOWNTOWN,1,6,112560,Office,51.29999924,4946798.5,97.82,0.87,106,2,1.0,0.0,112560.0,18760.0,0.3208351894767015
504,NonResidential,Retail Store,DOWNTOWN,1,6,86204,Other,43.5,3241917.0,69.02,0.8,106,1,1.0,0.0,86204.0,14367.333,0.3293003131444605
505,Nonresidential COS,Warehouse,GREATER DUWAMISH,1,2,145158,Non-Refrigerated Warehouse,52.29999924,8384523.0,119.46,0.82,31,3,1.0,0.0,145158.0,72579.0,1.6505833972038442
506,NonResidential,Large Office,GREATER DUWAMISH,1,2,112896,Office,92.90000153,10287986.0,157.48,1.39,65,2,1.0,0.0,112896.0,56448.0,1.3940172391374963
507,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,110613,Distribution Center,9.199999809,1015060.188,7.08,0.06,56,2,1.0,0.0,110613.0,110613.0,1.3762042283306692
508,NonResidential,Warehouse,GREATER DUWAMISH,1,4,149881,Non-Refrigerated Warehouse,16.10000038,2417401.25,95.86,0.64,65,2,1.0,0.0,149881.0,37470.25,1.463804861593472
509,NonResidential,Warehouse,GREATER DUWAMISH,1,3,98220,Non-Refrigerated Warehouse,50.0,6468090.0,75.29,0.77,65,1,1.0,0.0,98220.0,32740.0,1.806162386710604
510,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,84420,Distribution Center,35.0,2848317.25,19.86,0.24,46,3,1.0,0.0,84420.0,84420.0,1.7920539383290146
511,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,73335,Distribution Center,70.90000153,5197118.0,155.74,2.12,55,2,1.0,0.0,73335.0,73335.0,2.4742739317572573
512,NonResidential,Distribution Center,GREATER DUWAMISH,1,2,56876,Distribution Center,31.5,1791715.625,48.5,0.85,88,3,1.0,0.0,56876.0,28438.0,1.85807358701406
513,NonResidential,Warehouse,GREATER DUWAMISH,1,2,61200,Non-Refrigerated Warehouse,80.30000305,4912143.0,178.62,2.92,85,1,1.0,0.0,61200.0,30600.0,1.6503770519795156
514,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,111908,Distribution Center,14.30000019,1555420.25,34.14,0.31,29,1,1.0,0.0,111908.0,111908.0,1.2990715064662002
515,NonResidential,Other,GREATER DUWAMISH,3,2,63644,Other - Public Services,104.4000015,6858533.5,168.5,2.65,30,2,1.0,0.0,21214.667,31822.0,1.0780684116665586
516,NonResidential,Mixed Use Property,GREATER DUWAMISH,3,2,108753,Non-Refrigerated Warehouse,33.5,3639670.25,25.37,0.23,86,6,0.82658,0.17342,36251.0,54376.5,0.8335172684841877
517,NonResidential,Supermarket / Grocery Store,NORTHWEST,1,1,141890,Supermarket/Grocery Store,100.0,16865978.0,293.56,2.07,46,2,0.74949,0.25051,141890.0,141890.0,6.050543547226078
518,NonResidential,Small- and Mid-Sized Office,BALLARD,1,4,92092,Office,68.69999695,4817062.0,33.58,0.36,15,1,0.77137,0.22863,92092.0,23023.0,4.429293972952463
519,NonResidential,Other,NORTHEAST,1,6,143439,Other,214.3999939,25631512.0,710.7,4.95,10,2,1.0,0.0,143439.0,23906.5,3.426275773458398
520,NonResidential,Large Office,LAKE UNION,1,4,202623,Office,79.5,8873485.0,61.86,0.31,8,3,0.56148,0.43852,202623.0,50655.75,3.056995956072032
521,NonResidential,Small- and Mid-Sized Office,LAKE UNION,1,2,77174,Office,71.0,5481549.0,38.21,0.5,16,1,0.66569,0.33431,77174.0,38587.0,3.116120649696488
522,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,5,110524,Office,63.90000153,6859198.0,47.82,0.43,18,3,1.0,0.0,110524.0,22104.8,1.586991148756557
523,NonResidential,Mixed Use Property,LAKE UNION,1,5,287224,Parking,139.8999939,21042926.0,314.43,1.09,8,4,0.63913,0.36087,287224.0,57444.8,1.57497071304864
524,NonResidential,Laboratory,LAKE UNION,1,4,115748,Laboratory,374.2000122,36436388.0,1154.79,9.98,17,1,0.84119,0.15881,115748.0,28937.0,1.7147874835498085
525,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,7,241875,Office,53.09999847,8655604.0,68.06,0.28,16,2,0.64986,0.35014,241875.0,34553.571,1.6772658240281326
526,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,5,102930,Office,53.29999924,4750799.0,65.03,0.63,42,2,0.81813,0.18187,102930.0,20586.0,1.4561139068686133
527,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,3,76893,Office,113.3000031,12029600.0,260.13,3.38,114,3,1.0,0.0,76893.0,25631.0,1.2444861313130062
528,NonResidential,Large Office,DOWNTOWN,1,8,150000,Office,73.80000305,9343428.0,119.93,0.8,41,2,0.84247,0.15753,150000.0,18750.0,1.0635077822306154
529,NonResidential,Large Office,DOWNTOWN,1,7,274362,Office,60.29999924,16540550.0,147.82,0.54,63,1,1.0,0.0,274362.0,39194.571,0.7010567700641174
530,NonResidential,Large Office,DOWNTOWN,1,15,378002,Office,65.69999695,17750994.0,246.83,0.65,33,2,0.69238,0.30762,378002.0,25200.133,0.8090226845392231
531,NonResidential,Large Office,DOWNTOWN,1,11,169020,Office,65.59999847,11480494.0,346.62,2.05,53,5,1.0,0.0,169020.0,15365.455,0.6915390170955569
532,NonResidential,Other,DOWNTOWN,1,33,429405,Data Center,639.7000122,274682208.0,1921.82,4.48,35,2,1.0,0.0,429405.0,13012.273,0.6431616337951022
533,NonResidential,Large Office,DOWNTOWN,1,76,1952220,Office,55.29999924,92937640.0,882.56,0.45,31,2,0.83639,0.16361,1952220.0,25687.105,0.1313914835524728
534,NonResidential,Large Office,DOWNTOWN,1,19,383515,Office,47.90000153,15878689.0,110.7,0.29,35,3,0.76591,0.23409,383515.0,20185.0,0.565655324564092
535,NonResidential,Medical Office,DOWNTOWN,1,18,363934,Medical Office,72.90000153,22104512.0,582.28,1.6,91,3,0.92067,0.07933,363934.0,20218.556,0.5125273261080262
536,NonResidential,Retail Store,DOWNTOWN,1,4,78920,Retail Store,105.1999969,8303666.5,109.85,1.39,87,1,1.0,0.0,78920.0,19730.0,0.4225392444892534
537,NonResidential,Large Office,DOWNTOWN,1,7,131143,Office,39.5,5177270.5,109.16,0.83,37,2,0.33538,0.66462,131143.0,18734.714,0.6448670891349688
538,NonResidential,Mixed Use Property,EAST,1,4,55520,Office,66.40000153,3686962.25,150.88,2.72,108,5,1.0,0.0,55520.0,13880.0,0.8310294979156373
539,NonResidential,Large Office,DOWNTOWN,1,10,132998,Office,27.29999924,3775187.5,133.8,1.01,108,2,1.0,0.0,132998.0,13299.8,0.4803131205115701
540,NonResidential,Retail Store,DOWNTOWN,1,3,83118,Retail Store,54.29999924,2443141.5,27.82,0.33,76,1,1.0,0.0,83118.0,27706.0,0.3302764354958027
541,NonResidential,Retail Store,DOWNTOWN,1,3,77555,Retail Store,106.0999985,7802205.5,54.4,0.7,92,1,1.0,0.0,77555.0,25851.667,0.3222521714474464
542,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,51218,Office,55.5,2886141.5,20.12,0.39,107,2,1.0,0.0,51218.0,8536.333,0.424873005224771
543,NonResidential,Large Office,DOWNTOWN,1,29,489182,Office,93.80000305,36378588.0,426.39,0.87,46,4,1.0,0.0,489182.0,16868.345,0.1606880847173998
544,NonResidential,Large Office,DOWNTOWN,1,27,216571,Office,86.0,16246106.0,639.72,2.95,87,3,0.9385,0.0615,216571.0,8021.148,0.186435187417887
545,NonResidential,Large Office,DOWNTOWN,1,13,189175,Office,115.8000031,19036416.0,132.71,0.7,95,2,1.0,0.0,189175.0,14551.923,0.1851746192879834
546,NonResidential,Large Office,DOWNTOWN,1,13,293803,Office,117.4000015,17074142.0,119.03,0.41,18,2,0.74649,0.25351,293803.0,22600.231,0.1211180681518218
547,NonResidential,Large Office,DOWNTOWN,1,7,122356,Office,41.09999847,4585070.5,41.8,0.34,106,3,1.0,0.0,122356.0,17479.429,0.3328398731441462
548,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,3,52298,Office,39.20000076,1968655.125,13.72,0.26,95,1,1.0,0.0,52298.0,17432.667,0.1837768379691446
549,NonResidential,Large Office,DOWNTOWN,1,17,116640,Office,70.30000305,6758565.5,169.06,1.45,105,4,1.0,0.0,116640.0,6861.176,0.2293706461187082
550,NonResidential,Large Office,DOWNTOWN,1,42,1249055,Office,38.0,37980712.0,264.78,0.21,35,5,0.83898,0.16102,1249055.0,29739.405,0.090726868106934
551,NonResidential,Medical Office,EAST,1,5,188339,Medical Office,104.0999985,8523594.0,89.41,0.47,28,2,0.47268,0.52732,188339.0,37667.8,0.4910871703226813
552,NonResidential,University,CENTRAL,1,2,60122,College/University,11.5,690529.5,9.31,0.15,100,2,1.0,0.0,60122.0,30061.0,0.8234155455297827
553,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,6,95000,Office,48.0,4052720.0,31.43,0.33,106,2,0.85579,0.14421,95000.0,15833.333,0.5641438199947442
554,NonResidential,Large Office,DOWNTOWN,1,9,224857,Office,74.5,15272491.0,390.67,1.74,45,1,1.0,0.0,224857.0,24984.111,0.2631962232807351
555,NonResidential,Large Office,DOWNTOWN,1,8,446261,Office,39.5,13568148.0,94.59,0.21,18,2,0.72037,0.27963,446261.0,55782.625,0.5154543383192614
556,NonResidential,Other,GREATER DUWAMISH,1,2,58492,Other,27.29999924,1594422.5,51.56,0.88,77,1,1.0,0.0,58492.0,29246.0,0.937008054656836
557,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,6,62370,Office,72.69999695,4353025.0,30.35,0.49,109,2,1.0,0.0,62370.0,10395.0,1.1499170370711185
558,NonResidential,Warehouse,GREATER DUWAMISH,1,1,73296,Non-Refrigerated Warehouse,30.29999924,2356376.75,73.58,1.0,56,2,1.0,0.0,73296.0,73296.0,1.5149919976077468
559,Nonresidential COS,Other,GREATER DUWAMISH,1,4,99122,Other,146.0,14469228.0,179.45,1.81,72,2,1.0,0.0,99122.0,24780.5,1.6505833972038442
560,NonResidential,Other,GREATER DUWAMISH,1,1,66133,Other,82.40000153,6345009.5,89.94,1.36,31,3,1.0,0.0,66133.0,66133.0,1.6662217901841854
561,NonResidential,Warehouse,GREATER DUWAMISH,1,2,115668,Non-Refrigerated Warehouse,30.79999924,3534690.75,111.23,0.96,64,4,1.0,0.0,115668.0,57834.0,2.0984058456838803
562,NonResidential,Other,GREATER DUWAMISH,1,1,141686,Other,43.79999924,6673138.0,46.52,0.33,46,1,1.0,0.0,141686.0,141686.0,2.997200612232501
563,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,1,93610,Office,61.29999924,6235947.0,152.28,1.63,66,2,1.0,0.0,93610.0,93610.0,3.400514211099153
564,NonResidential,Large Office,GREATER DUWAMISH,1,2,156188,Office,48.20000076,6843855.0,60.92,0.39,43,2,1.0,0.0,156188.0,78094.0,3.72186767428044
565,NonResidential,Warehouse,GREATER DUWAMISH,1,1,115620,Non-Refrigerated Warehouse,34.29999924,1951856.25,13.61,0.12,50,1,1.0,0.0,115620.0,115620.0,3.949569875454136
566,NonResidential,Large Office,GREATER DUWAMISH,1,5,238148,Office,43.90000153,10775646.0,75.12,0.32,41,2,1.0,0.0,238148.0,47629.6,4.091021445494659
567,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,71718,Distribution Center,2.099999905,151754.2969,1.06,0.01,47,1,1.0,0.0,71718.0,71718.0,4.345850661426574
568,NonResidential,Warehouse,GREATER DUWAMISH,1,1,55450,Non-Refrigerated Warehouse,78.40000153,4345698.0,131.64,2.37,47,2,1.0,0.0,55450.0,55450.0,4.827785980792564
569,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,54880,Distribution Center,50.20000076,2763597.0,89.53,1.63,37,1,1.0,0.0,54880.0,54880.0,5.573055215981573
570,NonResidential,Retail Store,DELRIDGE,1,1,102500,Retail Store,73.40000153,7305474.0,158.55,1.55,24,2,1.0,0.0,102500.0,102500.0,6.046841768992766
571,NonResidential,Other,NORTHEAST,1,6,361398,Parking,108.5,8915523.0,119.92,0.33,14,4,0.24488,0.75512,361398.0,60233.0,4.344021219039621
572,NonResidential,Supermarket / Grocery Store,GREATER DUWAMISH,1,1,50785,Supermarket/Grocery Store,271.7000122,7439009.0,195.43,3.85,53,1,1.0,0.0,50785.0,50785.0,2.4038472757777405
573,NonResidential,Small- and Mid-Sized Office,DELRIDGE,1,3,85126,Office,465.5,37951708.0,166.13,1.95,87,1,1.0,0.0,85126.0,28375.333,4.507124531664143
574,NonResidential,Other,NORTH,1,5,303255,Parking,36.5,11077140.0,99.14,0.33,16,4,0.93464,0.06536,303255.0,60651.0,7.112498776004082
575,NonResidential,Distribution Center,GREATER DUWAMISH,1,1,411584,Distribution Center,37.0,15091579.0,455.39,1.11,30,3,1.0,0.0,411584.0,411584.0,2.782056848926948
576,NonResidential,Mixed Use Property,DOWNTOWN,1,4,73320,Non-Refrigerated Warehouse,20.0,1141189.75,29.16,0.4,114,3,1.0,0.0,73320.0,18330.0,0.473605029985463
